iter	Passed	Remaining
364	2245	3907
365	2264	3921
366	2275	3924
367	2286	3926
368	2300	3934
369	2310	3933
370	2318	3931
371	2325	3925
372	2332	3921
373	2338	3914
374	2344	3906
375	2350	3900
376	2355	3893
377	2362	3887
378	2368	3880
379	2373	3872
380	2379	3865
381	2383	3856
382	2388	3847
383	2394	3841
384	2399	3833
385	2404	3825
386	2410	3818
387	2415	3810
388	2420	3801
389	2426	3795
390	2431	3787
391	2436	3779
392	2446	3778
393	2451	3770
394	2468	3780
395	2474	3774
396	2484	3772
397	2491	3768
398	2496	3760
399	2501	3751
400	2506	3744
401	2511	3735
402	2515	3726
403	2521	3719
404	2526	3711
405	2531	3703
406	2536	3696
407	2542	3688
408	2547	3681
409	2552	3673
410	2557	3665
411	2564	3660
412	2573	3657
413	2580	3652
414	2585	3644
415	2590	3636
416	2596	3629
417	2600	3620
418	2605	3612
419	2611	3606
